Mine Name,CAAQMS_Source_Name,CAAQMS_Match_Type,Environmental_Anomaly,Environmental_Risk_Score,Environmental_Min_Anomaly_Score,Environmental_Anomaly_Count,Environmental_Observations,Environmental_Anomaly_Rate,Environmental_Available,Production_Source_Name,Production_Match_Type,Operational_ZScore,Operational_Absolute_ZScore,Operational_Anomaly,Operational_Anomaly_Category,Operational_Anomaly_Reason,Operational_Change,Data_Sufficient,Operational_Available,Evidence_Count,Evidence_Coverage,Evidence_Status,Safety_Evidence_Available,Safety_Evidence_Status,Confidence_Score,Confidence_Category,Mine_Type,Peer_Production_ZScore,Peer_Production_Anomaly,Peer_Operational_Risk,Peer_Production_Category,Peer_Production_Direction,Historical_Operational_Risk,Operational_Risk_Score,Safety_Risk_Score,Overall_Risk_Score,Risk_Category,Risk_Drivers,AI_Recommendation,Peer_Context_Explanation,Risk_Score_Type
Parbelia Colliery,,,,,,,,,0,Parbelia Colliery,Contextual_Fuzzy,-0.2082716778163628,0.2082716778163628,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.01,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Underground,-0.498852071754487,0,12.471301793862176,Normal,Lower than peer average,5.20679194540907,5.20679194540907,,5.20679194540907,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Parej East OCP,,,,,,,,,0,Parej East OCP,Contextual_Fuzzy,-0.2179077141099998,0.2179077141099998,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.0199999999999999,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Opencast,-0.4754363992207008,0,11.88590998051752,Normal,Lower than peer average,5.447692852749995,5.447692852749995,,5.447692852749995,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Parsa East and Kanta Basan OCM,,,,,,,,,0,Parsa East and Kanta Basan OCM,Contextual_Fuzzy,-5.113014151277623,5.113014151277623,1.0,Highly Unusual,Production decreased by 5.10 MT compared with the previous year; the change is statistically unusual (Z-score: -5.11).,-5.1000000000000005,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Opencast,0.3198287860216696,0,7.995719650541741,Normal,Higher than peer average,100.0,100.0,,100.0,CRITICAL,Operational indicator,Priority Inspection / Further Assessment Required,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Patansaongi Colliery,,,,,,,,,0,Patansaongi Colliery,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Underground,-0.5109392396886242,0,12.773480992215603,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Patmohana Colliery,,,,,,,,,0,Patmohana Colliery,Contextual_Fuzzy,-0.1889996052290887,0.1889996052290887,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.01,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Underground,-0.4897866958038842,0,12.244667395097103,Normal,Lower than peer average,4.7249901307272175,4.7249901307272175,,4.7249901307272175,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Penganga OC,,,,,,,,,0,Penganga OC,Contextual_Fuzzy,-1.0658789079500608,1.0658789079500608,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.9000000000000004,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Opencast,0.0805421035773552,0,2.0135525894338824,Normal,Higher than peer average,26.64697269875152,26.64697269875152,,26.64697269875152,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
"Pimpalgaon,",,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable,0.0,Insufficient Evidence,Opencast,-0.5263242794450063,0,13.158106986125157,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Pindra Colliery,,,,,,,,,0,Pindra Colliery,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Opencast,-0.5263242794450063,0,13.158106986125157,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Piparia,,,,,,,,,0,Piparia,Contextual_Fuzzy,-0.2275437504036369,0.2275437504036369,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.03,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Underground,-0.3840239763801843,0,9.600599409504609,Normal,Lower than peer average,5.688593760090923,5.688593760090923,,5.688593760090923,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Porascol East Colliery,,,,,,,,,0,Porascol East Colliery,Contextual_Fuzzy,-0.2082716778163627,0.2082716778163627,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.0099999999999999,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Underground,-0.4323726481167328,0,10.80931620291832,Normal,Lower than peer average,5.206791945409067,5.206791945409067,,5.206791945409067,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Porascol West Colliery,,,,,,,,,0,Porascol West Colliery,Contextual_Fuzzy,-0.2082716778163628,0.2082716778163628,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.01,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Underground,-0.4414380240673357,0,11.035950601683393,Normal,Lower than peer average,5.20679194540907,5.20679194540907,,5.20679194540907,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Prakasham Khani OC,,,,,,,,,0,Prakasham Khani OC,Contextual_Fuzzy,0.4758868990318672,0.4758868990318672,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.6999999999999993,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Opencast,0.7932249720289175,0,19.83062430072294,Normal,Higher than peer average,11.89717247579668,11.89717247579668,,11.89717247579668,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Pundi,,,,,,,,,0,Pundi,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Opencast,-0.5263242794450063,0,13.158106986125157,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Pure Searsole Colliery,,,,,,,,,0,Pure Searsole Colliery,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Underground,-0.5230264076227613,0,13.075660190569034,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Purnadih,,,,,,,,,0,Purnadih,Contextual_Fuzzy,-0.3335401496336445,0.3335401496336445,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.14,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Opencast,-0.4519496852710214,0,11.298742131775535,Normal,Lower than peer average,8.338503740841112,8.338503740841112,,8.338503740841112,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Rajendra,,,,,,,,,0,Rajendra,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Underground,-0.1513459936480444,0,3.783649841201111,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Rajhara,,,,,,,,,0,Rajhara,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Opencast,-0.5263242794450063,0,13.158106986125157,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Rajmahal OCP,,,,,,,,,0,Rajmahal OCP,Contextual_Fuzzy,6.228600566333189,6.228600566333189,1.0,Highly Unusual,Production increased by 6.67 MT compared with the previous year; the change is statistically unusual (Z-score: 6.23).,6.670000000000001,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Opencast,0.9955137663697048,0,24.88784415924262,Normal,Higher than peer average,100.0,100.0,,100.0,CRITICAL,Operational indicator,Priority Inspection / Further Assessment Required,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Rajnagar RO,,,,,,,,,0,Rajnagar RO,Contextual_Fuzzy,-0.256451859284548,0.256451859284548,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.06,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Underground,-0.2359561691870043,0,5.898904229675109,Normal,Lower than peer average,6.4112964821137,6.4112964821137,,6.4112964821137,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Rajpura,,,,,,,,,0,Rajpura,Contextual_Fuzzy,-0.1889996052290888,0.1889996052290888,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0099999999999999,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Opencast,-0.516727557616105,0,12.918188940402626,Normal,Lower than peer average,4.72499013072722,4.72499013072722,,4.72499013072722,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Rajrappa Project,,,,,,,,,0,Rajrappa Project,Contextual_Fuzzy,-0.2275437504036369,0.2275437504036369,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.03,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Opencast,-0.3617910091416069,0,9.044775228540171,Normal,Lower than peer average,5.688593760090923,5.688593760090923,,5.688593760090923,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Rajur UG,,,,,,,,,0,Rajur UG,Contextual_Fuzzy,-0.1889996052290888,0.1889996052290888,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0099999999999999,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Underground,-0.4625905679520757,0,11.564764198801893,Normal,Lower than peer average,4.72499013072722,4.72499013072722,,4.72499013072722,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Ramagundam OC-I Extn. Ph-II,,,,,,,,,0,Ramagundam OC-I Extn. Ph-II,Contextual_Fuzzy,0.1868058102227566,0.1868058102227566,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.4000000000000003,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Opencast,0.2200733880633539,0,5.501834701583848,Normal,Higher than peer average,4.670145255568915,4.670145255568915,,4.670145255568915,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Ramagundam-OC 3 & OC III,,,,,,,,,0,Ramagundam-OC 3 & OC III,Contextual_Fuzzy,1.0925932218246392,1.0925932218246392,0.0,Normal,Latest production change is within the normal range of observed production changes.,1.34,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Opencast,0.6732659491676518,0,16.831648729191294,Normal,Higher than peer average,27.31483054561598,27.31483054561598,,27.31483054561598,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Ramakrishnapur OC,,,,,,,,,0,Ramakrishnapur OC,Contextual_Fuzzy,-0.2082716778163625,0.2082716778163625,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.0099999999999997,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Opencast,-0.2899418680804909,0,7.248546702012272,Normal,Lower than peer average,5.206791945409062,5.206791945409062,,5.206791945409062,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Ramnagar Colliery,,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable,0.0,Insufficient Evidence,Underground,-0.6287891270464613,0,15.719728176161532,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Rampur Batura,,,,,,,,,0,Rampur Batura,Contextual_Fuzzy,0.9287806048328092,0.9287806048328092,0.0,Normal,Latest production change is within the normal range of observed production changes.,1.17,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Opencast,-0.372776730182586,0,9.319418254564653,Normal,Lower than peer average,23.21951512082023,23.21951512082023,,23.21951512082023,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Raniatari,,,,,,,,,0,Raniatari,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Underground,0.8216710250499948,0,20.54177562624987,Normal,Higher than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Ravindra Khani-5 Incline,,,,,,,,,0,Ravindra Khani-5 Incline,Contextual_Fuzzy,-0.2179077141099998,0.2179077141099998,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.0199999999999999,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Underground,0.2082472523925354,0,5.206181309813385,Normal,Higher than peer average,5.447692852749995,5.447692852749995,,5.447692852749995,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Ravindra Khani-6 Incline,,,,,,,,,0,Ravindra Khani-6 Incline,Contextual_Fuzzy,-0.2082716778163627,0.2082716778163627,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.0099999999999999,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Underground,-0.0395396902572759,0,0.9884922564318984,Normal,Lower than peer average,5.206791945409067,5.206791945409067,,5.206791945409067,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
"Ravindra Khani-7,Incline",,,,,,,,,0,"Ravindra Khani-7,Incline",Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Underground,0.395598355371661,0,9.889958884291524,Normal,Higher than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
"Ravindra Khani-New Tech,",,,,,,,,,0,"Ravindra Khani-New Tech,",Contextual_Fuzzy,-0.2179077141099998,0.2179077141099998,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.0199999999999999,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Underground,-0.1422806176974415,0,3.557015442436039,Normal,Lower than peer average,5.447692852749995,5.447692852749995,,5.447692852749995,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Rehar,,,,,,,,,0,Rehar,Contextual_Fuzzy,-0.237179786697274,0.237179786697274,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.04,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Underground,-0.5351135755568984,0,13.37783938892246,Normal,Lower than peer average,5.929494667431849,5.929494667431849,,5.929494667431849,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Religara,,,,,,,,,0,Religara,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Opencast,-0.4633142242789308,0,11.58285560697327,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
ROCP/S. Jharia,,,,,,,,,0,ROCP/S. Jharia,Contextual_Fuzzy,0.3024382457464012,0.3024382457464012,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.5200000000000002,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Opencast,-0.2538278885664677,0,6.345697214161692,Normal,Lower than peer average,7.5609561436600305,7.5609561436600305,,7.5609561436600305,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Rohini,,,,,,,,,0,Rohini,Contextual_Fuzzy,-0.4588086214509262,0.4588086214509262,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.27,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Opencast,-0.5213996458749122,0,13.034991146872803,Normal,Lower than peer average,11.470215536273155,11.470215536273155,,11.470215536273155,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Samleswari OCP,,,,,,,,,0,Samleswari OCP,Contextual_Fuzzy,1.3624022380464769,1.3624022380464769,0.0,Normal,Latest production change is within the normal range of observed production changes.,1.62,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Opencast,0.4914333250411016,0,12.28583312602754,Normal,Higher than peer average,34.06005595116192,34.06005595116192,,34.06005595116192,MEDIUM,No major risk indicator,Monitoring and Review Required,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Sankarpur Colliery,,,,,,,,,0,Sankarpur Colliery,Contextual_Fuzzy,-0.2275437504036369,0.2275437504036369,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.03,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Underground,-0.051626858191413,0,1.2906714547853269,Normal,Lower than peer average,5.688593760090923,5.688593760090923,,5.688593760090923,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Saoner Mine - II,,,,,,,,,0,Saoner Mine - II,Contextual_Fuzzy,-0.1697275326418146,0.1697275326418146,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.03,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Underground,-0.0878883619938245,0,2.1972090498456125,Normal,Lower than peer average,4.243188316045365,4.243188316045365,,4.243188316045365,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Saoner Mine - III,,,,,,,,,0,Saoner Mine - III,Contextual_Fuzzy,-0.1889996052290887,0.1889996052290887,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.01,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Underground,-0.2057382493516615,0,5.143456233791538,Normal,Lower than peer average,4.7249901307272175,4.7249901307272175,,4.7249901307272175,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Saoner Mine-I,,,,,,,,,0,Saoner Mine-I,Contextual_Fuzzy,-0.1697275326418146,0.1697275326418146,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.03,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Underground,-0.0667358181090845,0,1.6683954527271128,Normal,Lower than peer average,4.243188316045365,4.243188316045365,,4.243188316045365,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Saraipali,,,,,,,,,0,Saraipali,Contextual_Fuzzy,-0.0926392422927183,0.0926392422927183,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.1099999999999998,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Underground,4.447821405291135,1,100.0,Highly Unusual,Higher than peer average,2.315981057317958,2.315981057317958,,2.315981057317958,LOW,Peer production anomaly,No Immediate High-Risk Indicator Detected,Production is higher than peer average compared with the Underground peer group.,Prototype AI risk indicator - not an official regulatory classification
Sarisatolli Coal Mine,,,,,,,,,0,Sarisatolli Coal Mine,Contextual_Fuzzy,-0.6900734924982155,0.6900734924982155,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.51,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Opencast,-0.3630537356980413,0,9.076343392451031,Normal,Lower than peer average,17.251837312455386,17.251837312455386,,17.251837312455386,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Sarni Mine,,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable,0.0,Insufficient Evidence,Underground,-0.6287891270464613,0,15.719728176161532,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Sarubera,,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable,0.0,Insufficient Evidence,Underground,-0.6287891270464613,0,15.719728176161532,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Sasti Expn. OCM,,,,,,,,,0,Sasti Expn. OCM,Contextual_Fuzzy,-0.738253673966401,0.738253673966401,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.5600000000000003,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Opencast,-0.2877952329345524,0,7.1948808233638095,Normal,Lower than peer average,18.456341849160022,18.456341849160022,,18.456341849160022,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Satgram Incline,,,,,,,,,0,Satgram Incline,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Underground,-0.5320917835733642,0,13.302294589334103,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Satgram Project,,,,,,,,,0,Satgram Project,Contextual_Fuzzy,-0.2179077141099998,0.2179077141099998,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.02,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Underground,-0.5381353675404328,0,13.45338418851082,Normal,Lower than peer average,5.447692852749995,5.447692852749995,,5.447692852749995,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Saunda (Ncdc),,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable,0.0,Insufficient Evidence,Underground,-0.6287891270464613,0,15.719728176161532,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Sayal `D',,,,,,,,,0,Sayal `D',Contextual_Fuzzy,0.6107914071427866,0.6107914071427866,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.84,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Opencast,-0.3989151699007776,0,9.97287924751944,Normal,Lower than peer average,15.269785178569665,15.269785178569665,,15.269785178569665,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
SD OC Mine,,,,,,,,,0,SD OC Mine,Contextual_Fuzzy,-0.0059149156499846,0.0059149156499846,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.2000000000000001,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Opencast,-0.3266872108727312,0,8.16718027181828,Normal,Lower than peer average,0.147872891249615,0.147872891249615,,0.147872891249615,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Sendra Bansjora,,,,,,,,,0,Sendra Bansjora,Contextual_Fuzzy,-0.3239041133400074,0.3239041133400074,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.13,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable,60.0,Moderate,Opencast,-0.4504344134033002,0,11.260860335082503,Normal,Lower than peer average,8.097602833500185,8.097602833500185,,8.097602833500185,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
